run_id,model_config,n_total,n_train,n_validation,n_external_test,auc,ece_before,ece_after,l5_precision,l5_recall,l5_hit_rate,l5_random_rate,l5_lift_vs_random,runtime_min,estimated_cost_usd,notes
20260324_132052,full_pipeline_v2.1,17,74,16,17,1.0000,0.3921,0.3862,0.0000,0.0000,0.0000,0.10,0.0000,0.00,0.00,"threshold=60.0, T_opt=3.0"
20260324_132250,full_pipeline_v2.1,17,74,16,17,1.0000,0.3921,0.3862,0.0000,0.0000,0.0000,0.10,0.0000,0.00,0.00,"baseline=full, threshold=60.0, T_opt=3.0, seed=20260324"
20260324_132250,random_baseline_v1,17,74,16,17,0.6333,0.4755,0.4236,1.0000,0.0667,1.0000,0.10,10.0000,0.00,0.00,"baseline=random, threshold=60.0, T_opt=3.0, seed=20260324"
20260324_132250,naive_baseline_v1,17,74,16,17,0.5000,0.0095,0.0095,0.0000,0.0000,0.0000,0.10,0.0000,0.00,0.00,"baseline=naive, threshold=60.0, T_opt=1.0, seed=20260324"
20260324_132418,full_pipeline_v2.1,17,74,16,17,1.0000,0.3921,0.3862,0.0000,0.0000,0.0000,0.10,0.0000,0.00,0.00,"baseline=full, threshold=60.0, T_opt=3.0, seed=20260324, top10_k=2, top10_hit=1.0000, pos_rate=0.8824, top10_lift=1.1333"
20260324_132418,random_baseline_v1,17,74,16,17,0.6333,0.4755,0.4236,1.0000,0.0667,1.0000,0.10,10.0000,0.00,0.00,"baseline=random, threshold=60.0, T_opt=3.0, seed=20260324, top10_k=2, top10_hit=1.0000, pos_rate=0.8824, top10_lift=1.1333"
20260324_132418,naive_baseline_v1,17,74,16,17,0.5000,0.0095,0.0095,0.0000,0.0000,0.0000,0.10,0.0000,0.00,0.00,"baseline=naive, threshold=60.0, T_opt=1.0, seed=20260324, top10_k=2, top10_hit=1.0000, pos_rate=0.8824, top10_lift=1.1333"
run_full_390_20260325,full_pipeline_v2.1,59,273,58,59,0.8135,0.3354,0.2886,0.0000,0.0000,0.0000,0.10,0.0000,0.00,0.00,"baseline=full, threshold=60.0, T_opt=3.0, seed=20260324, top10_k=6, top10_hit=1.0000, pos_rate=0.7627, top10_lift=1.3111"
run_random_390_20260325,random_baseline_v1,59,273,58,59,0.4873,0.3277,0.2732,1.0000,0.0444,1.0000,0.10,10.0000,0.00,0.00,"baseline=random, threshold=60.0, T_opt=3.0, seed=20260324, top10_k=6, top10_hit=0.8333, pos_rate=0.7627, top10_lift=1.0926"
run_naive_390_20260325,naive_baseline_v1,59,273,58,59,0.5000,0.0631,0.0206,0.0000,0.0000,0.0000,0.10,0.0000,0.00,0.00,"baseline=naive, threshold=60.0, T_opt=0.8, seed=20260324, top10_k=6, top10_hit=0.6667, pos_rate=0.7627, top10_lift=0.8741"
auto_full_390_20260325_132414,full_pipeline_v2.1,59,273,58,59,0.8135,0.3354,0.2886,0.0000,0.0000,0.0000,0.10,0.0000,0.00,0.00,"baseline=full, threshold=60.0, T_opt=3.0, seed=20260324, top10_k=6, top10_hit=1.0000, pos_rate=0.7627, top10_lift=1.3111"
auto_random_390_20260325_132414,random_baseline_v1,59,273,58,59,0.4873,0.3277,0.2732,1.0000,0.0444,1.0000,0.10,10.0000,0.00,0.00,"baseline=random, threshold=60.0, T_opt=3.0, seed=20260324, top10_k=6, top10_hit=0.8333, pos_rate=0.7627, top10_lift=1.0926"
