baseline,scheme,threshold,val_youden_j,tp,tn,fp,fn,precision,recall,f1
full,fixed_cutoff,40.0000,,32,15,6,22,0.8421,0.5926,0.6957
full,fixed_cutoff,45.0000,,23,15,6,31,0.7931,0.4259,0.5542
full,fixed_cutoff,50.0000,,19,18,3,35,0.8636,0.3519,0.5000
full,fixed_cutoff,52.5000,,15,21,0,39,1.0000,0.2778,0.4348
full,fixed_cutoff,55.0000,,13,21,0,41,1.0000,0.2407,0.3881
full,fixed_cutoff,57.5000,,12,21,0,42,1.0000,0.2222,0.3636
full,fixed_cutoff,60.0000,,9,21,0,45,1.0000,0.1667,0.2857
full,fixed_cutoff,62.5000,,3,21,0,51,1.0000,0.0556,0.1053
full,fixed_cutoff,65.0000,,2,21,0,52,1.0000,0.0370,0.0714
full,fixed_cutoff,67.5000,,0,21,0,54,0.0000,0.0000,0.0000
full,fixed_cutoff,70.0000,,0,21,0,54,0.0000,0.0000,0.0000
full,fixed_cutoff,75.0000,,0,21,0,54,0.0000,0.0000,0.0000
full,fixed_cutoff,80.0000,,0,21,0,54,0.0000,0.0000,0.0000
full,val_youden_then_external,28.6300,0.5265,49,10,11,5,0.8167,0.9074,0.8596
random,fixed_cutoff,40.0000,,32,8,13,22,0.7111,0.5926,0.6465
random,fixed_cutoff,45.0000,,32,9,12,22,0.7273,0.5926,0.6531
random,fixed_cutoff,50.0000,,29,9,12,25,0.7073,0.5370,0.6105
random,fixed_cutoff,52.5000,,28,10,11,26,0.7179,0.5185,0.6022
random,fixed_cutoff,55.0000,,28,12,9,26,0.7568,0.5185,0.6154
random,fixed_cutoff,57.5000,,24,13,8,30,0.7500,0.4444,0.5581
random,fixed_cutoff,60.0000,,21,13,8,33,0.7241,0.3889,0.5060
random,fixed_cutoff,62.5000,,19,13,8,35,0.7037,0.3519,0.4691
random,fixed_cutoff,65.0000,,19,13,8,35,0.7037,0.3519,0.4691
random,fixed_cutoff,67.5000,,18,14,7,36,0.7200,0.3333,0.4557
random,fixed_cutoff,70.0000,,17,15,6,37,0.7391,0.3148,0.4416
random,fixed_cutoff,75.0000,,8,18,3,46,0.7273,0.1481,0.2462
random,fixed_cutoff,80.0000,,8,19,2,46,0.8000,0.1481,0.2500
naive,fixed_cutoff,40.0000,,54,0,21,0,0.7200,1.0000,0.8372
naive,fixed_cutoff,45.0000,,0,21,0,54,0.0000,0.0000,0.0000
naive,fixed_cutoff,50.0000,,0,21,0,54,0.0000,0.0000,0.0000
naive,fixed_cutoff,52.5000,,0,21,0,54,0.0000,0.0000,0.0000
naive,fixed_cutoff,55.0000,,0,21,0,54,0.0000,0.0000,0.0000
naive,fixed_cutoff,57.5000,,0,21,0,54,0.0000,0.0000,0.0000
naive,fixed_cutoff,60.0000,,0,21,0,54,0.0000,0.0000,0.0000
naive,fixed_cutoff,62.5000,,0,21,0,54,0.0000,0.0000,0.0000
naive,fixed_cutoff,65.0000,,0,21,0,54,0.0000,0.0000,0.0000
naive,fixed_cutoff,67.5000,,0,21,0,54,0.0000,0.0000,0.0000
naive,fixed_cutoff,70.0000,,0,21,0,54,0.0000,0.0000,0.0000
naive,fixed_cutoff,75.0000,,0,21,0,54,0.0000,0.0000,0.0000
naive,fixed_cutoff,80.0000,,0,21,0,54,0.0000,0.0000,0.0000
